# side(0=real,1=sim) event ncl R_cm rms_cm medtb
0 11 42 52.97 0.1341 221.0
0 11 36 46.50 0.0934 927.7
0 11 26 149.70 0.0434 931.0
0 11 14 45.27 0.1251 824.3
0 11 14 49.72 0.0820 797.4
0 11 35 57.66 0.0934 389.3
0 11 23 111.89 0.0401 348.8
0 11 39 110.45 0.0506 882.2
0 11 33 56.22 0.0781 585.9
0 11 42 102.88 0.0496 273.3
0 11 43 67.57 0.0863 854.5
0 11 30 45.47 0.0923 149.7
0 11 35 76.35 0.0888 941.5
0 11 29 56.33 0.1032 154.3
0 11 24 56.47 0.0545 195.5
0 11 18 48.89 0.0878 216.9
0 11 30 103.16 0.0814 776.5
0 11 17 49.97 0.1007 297.3
0 11 19 133.07 0.0273 813.3
0 11 20 487.76 0.0659 638.7
0 11 16 75.65 0.0445 570.8
0 11 24 88.86 0.0690 900.8
0 11 40 91.03 0.0960 882.3
0 11 31 301.80 0.0441 276.9
0 11 29 143.85 0.0525 537.3
0 11 33 55.16 0.1118 286.7
0 11 25 230.75 0.0443 940.2
0 11 31 95.76 0.0536 12.7
0 11 22 68.83 0.1008 211.5
0 11 44 75.06 0.0684 26.5
0 11 39 47.30 0.1125 845.6
0 11 17 45.83 0.0859 931.6
0 11 20 153.98 0.0750 241.9
